ESCUELA,EDAD,SEXO,EST_CIVIL,HIJOS,TRABAJA_ESTUDIA,VIVE_SOLO,NIVEL_SOCIO_ECON,SEMESTRE,PPACumulado,PPAnterior
ADMINISTRACIÓN,20,1,0,0,0,0,2,4,14.128,14.389
ADMINISTRACIÓN,27,0,0,0,1,0,2,5,12.796,12.632
ADMINISTRACIÓN,22,0,0,0,1,1,1,10,14.906,15.381
ADMINISTRACIÓN,27,1,2,1,1,1,2,7,15.309,15.762
ADMINISTRACIÓN,31,0,0,0,1,1,2,10,14.581,13
ADMINISTRACIÓN,20,1,0,0,0,1,2,6,17.349,17.773
ADMINISTRACIÓN,23,1,0,0,0,0,2,10,14.743,15.227
ADMINISTRACIÓN,20,0,0,0,1,1,1,6,15.751,14.765
ADMINISTRACIÓN,23,0,0,0,1,0,0,8,14.585,7.643
ADMINISTRACIÓN,18,0,0,0,1,0,0,1,15,2.409
ADMINISTRACIÓN,19,1,0,0,0,0,0,7,14.966,14.773
ADMINISTRACIÓN,26,1,1,1,1,0,2,6,14.535,9.933
ADMINISTRACIÓN,21,1,0,0,1,1,0,8,13.775,15.714
ADMINISTRACIÓN,26,1,2,1,1,0,2,8,14.41,14.5
ADMINISTRACIÓN,23,0,0,0,1,1,1,6,14.882,16.9
ADMINISTRACIÓN,27,1,0,0,1,1,0,5,17.149,17.864
ADMINISTRACIÓN,23,0,0,0,1,0,2,5,14.349,14
ADMINISTRACIÓN,20,1,2,0,1,1,2,9,17.735,17.727
ADMINISTRACIÓN,20,0,0,0,0,0,1,7,14.687,0
ADMINISTRACIÓN,24,0,0,0,1,0,1,5,14.784,15.2
ADMINISTRACIÓN,30,0,0,0,1,0,0,6,16.841,17.682
ADMINISTRACIÓN,27,0,0,0,1,0,2,10,14.565,15.556
ADMINISTRACIÓN,27,0,0,0,0,0,0,9,13.392,17.25
ADMINISTRACIÓN,18,0,0,0,1,0,0,3,15.541,11.789
ADMINISTRACIÓN,25,1,0,1,0,0,0,8,14.309,14.333
ADMINISTRACIÓN,20,1,0,0,1,0,2,7,13.163,15
ADMINISTRACIÓN,26,1,0,0,1,1,2,9,14.682,14
ADMINISTRACIÓN,22,1,0,0,1,1,1,10,15.481,12.778
ADMINISTRACIÓN,23,1,2,0,1,0,1,7,13.421,14.6
ADMINISTRACIÓN,23,0,0,0,0,0,0,8,14.597,14
ADMINISTRACIÓN,21,1,0,0,1,0,2,9,15.338,16.75
ADMINISTRACIÓN,27,0,0,0,1,0,2,7,13.576,14.476
ADMINISTRACIÓN,25,1,0,0,0,0,1,9,10.38,14.353
ADMINISTRACIÓN,19,1,0,0,0,0,2,4,15.39,16.524
ADMINISTRACIÓN,21,0,0,0,1,0,2,5,14.392,16.692
ADMINISTRACIÓN,24,0,2,0,1,0,1,4,13.671,16.053
ADMINISTRACIÓN,29,0,0,1,1,0,1,5,16.909,17.682
ADMINISTRACIÓN,22,1,0,0,1,1,2,8,15.852,15.571
ADMINISTRACIÓN,33,0,2,0,1,0,2,10,15.15,16
ADMINISTRACIÓN,18,0,0,0,1,0,0,4,14.118,14.421
ADMINISTRACIÓN,22,0,0,0,1,1,0,3,13.55,6.533
ADMINISTRACIÓN,21,1,0,0,0,0,2,9,10.792,15.476
ADMINISTRACIÓN,22,0,0,0,1,0,2,3,15.083,13.5
ADMINISTRACIÓN,26,0,0,0,1,0,1,2,14.918,16.55
ADMINISTRACIÓN,22,1,0,0,1,0,0,9,15.093,18
ADMINISTRACIÓN,21,1,0,0,1,1,1,5,15.388,16.571
ADMINISTRACIÓN,24,1,0,0,1,0,1,5,15.813,16.818
ADMINISTRACIÓN,21,0,0,0,0,0,2,5,15.984,16.833
ADMINISTRACIÓN,30,1,0,1,1,1,1,10,12.445,14.714
ADMINISTRACIÓN,20,0,0,0,0,1,0,7,16.815,16.222
ADMINISTRACIÓN,22,1,0,0,1,0,0,8,14.773,15.455
ADMINISTRACIÓN,24,0,0,0,1,1,0,10,13.08,14.75
ADMINISTRACIÓN,24,0,0,0,1,1,2,10,14.565,12.091
ADMINISTRACIÓN,19,0,0,0,1,1,1,5,13.706,14.045
ADMINISTRACIÓN,22,0,0,0,1,1,2,9,14,12.65
ADMINISTRACIÓN,28,1,0,1,1,1,1,9,14.41,15.889
ADMINISTRACIÓN,27,0,0,0,1,0,2,10,14.964,16
ADMINISTRACIÓN,24,0,0,0,1,0,0,10,13.633,10.947
ADMINISTRACIÓN,19,0,0,0,1,1,2,5,15.487,15.19
ADMINISTRACIÓN,19,0,0,0,1,0,0,3,13.595,13.278
ADMINISTRACIÓN,30,1,0,0,1,1,2,10,14.35,15.263
ADMINISTRACIÓN,21,1,0,0,0,1,1,7,16.545,16.75
ADMINISTRACIÓN,22,0,0,0,1,1,2,5,16.448,17.765
ADMINISTRACIÓN,22,0,0,0,1,0,0,3,15.442,15.286
ADMINISTRACIÓN,21,1,0,0,1,1,1,3,15.932,16.167
ADMINISTRACIÓN,19,1,0,0,0,0,1,6,17.141,17.333
ADMINISTRACIÓN,31,0,0,0,1,0,1,10,12.878,14.591
ADMINISTRACIÓN,24,1,0,0,1,0,2,9,14.557,13.588
ADMINISTRACIÓN,18,0,0,0,0,0,0,3,16.167,16.818
ADMINISTRACIÓN,27,1,0,0,1,0,0,9,14.79,15.778
ADMINISTRACIÓN,26,0,0,0,1,1,0,9,12.73,15.714
ADMINISTRACIÓN,22,1,0,0,0,0,2,9,13.103,0
ADMINISTRACIÓN,23,1,0,1,1,0,0,10,14.005,14.684
ADMINISTRACIÓN,28,0,0,0,0,1,2,9,13.631,14.286
ADMINISTRACIÓN,23,1,0,0,1,1,1,10,15.255,17.2
ADMINISTRACIÓN,22,0,0,0,0,0,2,10,13.47,15.364
ADMINISTRACIÓN,23,0,0,0,0,0,1,8,14.418,5.8
ADMINISTRACIÓN,21,1,0,0,1,0,1,9,14.645,14.19
